OBJECTID,FUNC_LOC_I,NAME,ADDRESS,ADDR3,AREA_SQ_M,RFOS_CATEGORY,RFOS_SUB_CATEGORY,MAINTAINED_BY,GlobalID
152003,K-GREE02,GREENACRE DRIVE PARK,145 GREENACRE DRIVE,PARKWOOD,957,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,52f9479e-ccb7-4ea9-8553-3bf8e9400803
152004,K-COSMOS,COSMOS RESERVE,296 NINETEENTH AVENUE,ELANORA,5691,OPEN SPACE PARKS,AMENITY SPACE,GCCC,7f9fc082-e9b2-4d71-a6be-5c50d2bfa47b
152005,K-COTL01,COTLEW PARK,15 COTLEW STREET,SOUTHPORT,10482,OPEN SPACE PARKS,AMENITY SPACE,GCCC,b9540c9d-a408-4690-a04f-80c329ae55ba
152006,K-COTTES,COTTESLOE DRIVE RESERVES,COTTESLOE DRIVE,MERMAID WATERS,7427,OPEN SPACE PARKS,AMENITY SPACE,GCCC,914af372-e372-422a-8f5a-513963c334bb
152007,K-COULTE,COULTER ROAD RESERVE,COULTER ROAD,WILLOW VALE,2537,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,cc11971a-76f5-453c-b294-8d3602961af9
152008,K-COUN01,COUNTRY CRESCENT RESERVE,60 TUNBRIDGE DRIVE,NERANG,3059,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,509f4aa1-b06e-4811-9fb7-2a913e9b4cc2
152009,K-SOPH01,SOPHIE LATIMER PARK,1 PICT COURT,NERANG,602,OPEN SPACE PARKS,AMENITY SPACE,GCCC,12c5065f-a93b-4e5d-876c-9253aae0e0f6
152010,K-SOPH02,SOPHIE PARK,7 DALLEY PARK DRIVE,HELENSVALE,2940,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,ba2a6adf-fefc-41df-b26d-d4e86c83655d
152011,K-SILV04,SILVERMAPLE PARK,HEIGHTS DRIVE,ROBINA,225,OPEN SPACE PARKS,AMENITY SPACE,GCCC,50cf61b4-2adf-45a4-9f47-cb671ab262f4
152012,K-SIMP02,SIMPSONS ROAD RESERVE,259 SIMPSONS ROAD,CURRUMBIN VALLEY,224942,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,33ab467d-89dc-402f-9915-f86788922987
152013,K-SITTEL,SITTELLA RESERVE,MULLINER TERRACE,UPPER COOMERA,78278,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,0a6561b1-9c9e-41a2-a05c-89f2c3e93a08
152014,K-SKYBUR,SKYBURNETT RESERVE,SKYBURNETT STREET,REEDY CREEK,31258,UTILITY RESERVE,UTILITY RESERVE,GCCC,24205094-9005-496b-9143-6dee93a15bd8
152015,K-NEILSE,NEILSEN FAMILY PARK,BROADBEACH BOULEVARDE,BROADBEACH,9560,OPEN SPACE PARKS,CITY RECREATION PARK,GCCC,5e305fa9-d5f4-478a-8506-a020227649e1
152016,K-ANNABE,ANNABELLE CRESCENT RESERVE,17A ANNABELLE CRESCENT,UPPER COOMERA,,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,cf007146-f85b-4db9-a9bb-82db0ca00024
152017,K-JOHNHA,JOHN HANDLEY COMMUNITY COMPLEX,111 CHRISTINE AVENUE,BURLEIGH WATERS,3739,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,66436a33-ac60-465e-99a1-52f0a988293e
152018,K-JOHNHA,JOHN HANDLEY COMMUNITY COMPLEX,111 CHRISTINE AVENUE,BURLEIGH WATERS,49820,SPORTS PARKS,DISTRICT SPORTS PARK,GCCC,06af4730-786f-473d-9808-deec4ea4dcde
152019,K-JOHNLA,JOHN LAWS PARK,THE ESPLANADE,BURLEIGH HEADS,12840.26,OPEN SPACE PARKS,CITY RECREATION PARK,GCCC,092b3881-14c6-491b-8632-1c2008c0e58a
152020,K-JOHNOR,JOHN ORBANSEN OAM PARK,108 GRIFFITH STREET,COOLANGATTA,188,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,3a9fa016-23f7-4270-aba1-03b5f5f25911
152021,K-JOHNWA,JOHN WAYNE CL DRAINAGE RESERVE,JOHN WAYNE CLOSE,MAUDSLAND,524,OPEN SPACE PARKS,AMENITY SPACE,GCCC,a486b82f-5fec-488c-b01c-b7cc1a1ce6da
152022,K-LITT04,LITTLE CEDAR CREEK RESERVE,130 CEDAR CREEK ROAD,CEDAR CREEK,6536,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,60f90f03-0bce-4fb8-a6a1-ea3db561162c
152023,K-LITT12,LITTLE RESERVE,ROBINA PARKWAY,ROBINA,3005,OPEN SPACE PARKS,AMENITY SPACE,GCCC,3e8857a7-58e0-4a59-a001-166c9948426c
152024,F-LBNERA,NERANG LIBRARY,48 PRICE STREET,NERANG,3913,COMMUNITY FACILITIES,CULTURAL FACILITIES,GCCC,0389beab-d41d-434e-af7a-142cedf8794b
152025,K-NERA02,NERANG LIONS PARK,61 CAYUGA ROAD,NERANG,3256,OPEN SPACE PARKS,AMENITY SPACE,GCCC,3d89bfd9-ee1a-4c52-a13d-c5949ab98caf
152026,K-NERA04,NERANG MURWILLUMBAH ROAD RESERVE,3088 NERANG MURWILLUMBAH ROAD,NATURAL BRIDGE,3984,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,5099d5d2-e076-47c1-8fda-d1945eb180ed
152027,K-NERA05,NERANG RIVER STOP RESERVE,GILSTON ROAD,GILSTON,2120,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,46f98040-4074-4632-b6c8-9621fe40f284
152028,K-AVOCAD,AVOCADO PARK,AVOCADO STREET,ELANORA,1484,OPEN SPACE PARKS,AMENITY SPACE,GCCC,b64ea894-ea24-438a-979c-a991b0523af2
152029,K-CURR03,CURRUMBIN CREEK ROAD RESERVE,CURRUMBIN CREEK ROAD,CURRUMBIN WATERS,2408,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,708d964d-c8c2-4fff-9e16-c8e0f23cdba9
152030,K-CURR13,CURRUMBIN CREEK ROAD WATERWORKS RESERVE,181 CURRUMBIN CREEK ROAD,CURRUMBIN,639,UTILITY RESERVE,UTILITY RESERVE,GCCC,cbfcae62-3b20-4d83-9b77-5a5214f81b43
152031,K-TIMB01,TIMBERTOPS PARK,4 PATONGA STREET,ASHMORE,15169,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,0c0329b4-cf07-4a8d-9d76-971ca260e8c8
152032,K-TINCUR,TINCURRAN CT RESERVE,CLAREMONT DRIVE,ROBINA,2818,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,7f6fb07b-3a97-404b-923f-87bec8e08c92
152033,K-TINGAR,TINGARINGY PARK,10 RIPPONLEA STREET,ROBINA,9758,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,43137caf-2299-4b33-bb6c-917f5c0d86a4
152034,K-TINGAR,TINGARINGY PARK,10 RIPPONLEA STREET,ROBINA,1286,OPEN SPACE PARKS,AMENITY SPACE,GCCC,786b2dd7-f2a4-4f20-8c35-c93399cc710f
152035,K-TOBINW,TOBIN WAY PARK,10A TOBIN WAY,TALLEBUDGERA,32526,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,b3f70ab4-a09a-450c-a43c-6b559de62d5c
152036,K-TOMJEA,TOM & JEAN RUDDY PARK,122 SHEEHAN AVENUE,HOPE ISLAND,13510,OPEN SPACE PARKS,AMENITY SPACE,GCCC,4f4f2664-029c-4779-bdd7-bdb68de247e3
152037,K-TOMMUT,TOM MUTSCHIN PARK,MILES STREET,COOLANGATTA,4526,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,ad6baa16-ac80-4900-b04a-15a684ce5d92
152038,K-TOMMUT,TOM MUTSCHIN PARK,MILES STREET,COOLANGATTA,5740,OPEN SPACE PARKS,AMENITY SPACE,GCCC,eb4f95e0-c445-424a-9c52-fd87d6fcf6f2
152039,K-RICHMO,RICHMOND PARK,69 TULLAMARINE DRIVE,ROBINA,2640,OPEN SPACE PARKS,AMENITY SPACE,GCCC,624c3054-6b6f-4559-9288-60a46a2e2638
152040,K-RIDGEV,RIDGEVALE DRIVE PARK,2A COOTHARABA STREET,HELENSVALE,4494,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,810e0fdb-6d59-428a-9554-e0f9bc9424ec
152041,K-RIOB02,RIO BARRAMUNDI PARK,TOWNSON AVENUE,PALM BEACH,1000,OPEN SPACE PARKS,AMENITY SPACE,GCCC,5826ac97-1a1d-473a-8d98-5d6dbb90a249
152042,K-KING02,KINGARY WETLAND RESERVE,GHILGAI ROAD,MERRIMAC,44474,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,176b28bf-3eec-4cb8-81e0-e23cc6edb456
152043,K-KINGSM,KINGSMORE PARK,KINGSMORE BOULEVARDE,REEDY CREEK,20911,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,2104d25a-85a8-430b-b9ef-64f38783aa8f
152044,K-MCCRAE,MCCRAE COURT RESERVE,410 KOPPS ROAD,MAUDSLAND,10834,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,2a0ad183-83da-41b7-a7ab-580a2bd0df29
152045,K-MATZIA,MATZIA AVENUE RESERVE,NAPIDO LANE,PACIFIC PINES,345,OPEN SPACE PARKS,AMENITY SPACE,GCCC,9a5be832-f1f4-4cc7-997b-583c3878a678
152046,K-MAUDSL,MAUDSLAND RESERVE,216 MAUDSLAND ROAD,MAUDSLAND,9628,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,48d7ad85-7814-4f7e-b5ca-a194a420eb2b
152047,K-KARING,KARINGAL DRIVE PARK,IMELDA WAY, PIMPAMA,3864.82926068,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,d5c07144-4a00-4f3b-b215-d7312db6ac40
152048,K-IMELDA,IMELDA WAY PARK,IMELDA WAY,PIMPAMA,8731.38411546,OPEN SPACE PARKS,AMENITY SPACE,GCCC,26af56bc-7465-4bd5-8254-38b53b7ab372
152049,K-BIGBLU,BIG BLUE GUM PARK,RIVER RUN CIRCUIT,ORMEAU HILLS,3811.654,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,dc5c3a06-2a1c-41f1-a47d-001fe23df09e
152050,K-BIGBLU,BIG BLUE GUM PARK,RIVER RUN CIRCUIT,ORMEAU HILLS,9762,UTILITY RESERVE,DRAINAGE RESERVE,EXTERNAL,3a778ebc-1fd6-4b4b-ade7-768c96803dfa
152051,K-LION02,LIONS PARK (CARRARA),1 MADIGAN ROAD,CARRARA,32788,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,9ca2292e-0406-499a-9f51-c79c28248fed
152052,K-AINSLE,AINSLEY PARK,31 GLENMORE DRIVE,ASHMORE,3669,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,e7b5e8cc-d293-4c83-a20b-fa59469ca1a4
152053,K-ALANNI,ALAN NIELSEN PARK,NIELSENS ROAD,CARRARA,57136,SPORTS PARKS,DISTRICT SPORTS PARK,GCCC,3a8c8d01-9c87-4397-a3be-5ac108e38bdd
152054,K-ALANNI,ALAN NIELSEN PARK,NIELSENS ROAD,CARRARA,159368.25967388,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,7ccf8939-44ea-42b5-ac99-9208036056cd
152055,K-JOHN02,JOHN FRANCIS DRIVE PARK,2 JOHN FRANCIS DRIVE,CARRARA,22977,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,a20ba87a-389f-4f90-99cb-1d0c77efa43a
152056,K-CYPRES,CYPRESS DRIVE PARK,32 CYPRESS DRIVE,BROADBEACH WATERS,878,OPEN SPACE PARKS,AMENITY SPACE,GCCC,7271b47e-8252-4358-84e3-9a642def24e4
152057,F-CPCYPR,CYPRESS PARK,3332 SURFERS PARADISE BOULEVARDE,SURFERS PARADISE,6756,OPEN SPACE PARKS,CITY RECREATION PARK,EXTERNAL,fbe49f1b-50d9-4c82-9d69-7aaf7caa1ce0
152058,K-DARCYD,D'ARCY DOYLE PARK,SOMERSET DRIVE,MUDGEERABA,16322,SPORTS PARKS,LOCAL SPORTS PARK,GCCC,6cb2636c-381f-452a-90c4-8b28006c1d8c
152059,K-FREEST,FREESTONE DRIVE PARK,FREESTONE DRIVE,UPPER COOMERA,3458,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,0597e655-1336-4b74-9c19-20d909c109d0
152060,K-FREE05,FREEWAY RESERVE STEPHENS,202 BANYULA DRIVE,GAVEN,3763,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,56bf0fb3-a63f-4d14-a571-0a35759b30c6
152061,K-NUMI02,NUMINBAH CONSERVATION AREA,365 CHESTERS ROAD,NUMINBAH VALLEY,5999617,GOLD COAST CONSERVATION ESTATE,CONSERVATION AREA,GCCC,79d2cc6a-f58a-476d-b12e-87d0a5cdd28f
152062,K-NUMI01,NUMINBAH RESERVE,3416 NERANG MURWILLUMBAH ROAD,NATURAL BRIDGE,2193,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,420ed66f-4040-40d3-907b-18b67d07ef19
152063,K-COOSPR,COOMERA SPRINGS BOULEVARDE PARK,0 COOMERA SPRINGS BOULEVARDE,UPPER COOMERA,10299.71213677,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,a017632b-92ac-445e-b256-18512451fdea
152064,K-ABBYCI,ABBY CIRCUIT PARK,ABBY CIRCUIT,MAUDSLAND,346.70312852,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,4d74861c-8071-412d-a059-60079f6eaf47
152065,K-ROSEAP,ROSEAPPLE CIRCUIT RESERVE,12 ROSEAPPLE CIRCUIT,OXENFORD,496.3351214,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,3291e044-2186-4b9f-97a8-04cfefc21642
152066,K-DARCYD,D'ARCY DOYLE PARK,SOMERSET DRIVE,MUDGEERABA,18113,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,2568e90f-d22f-4106-80ca-e35f4a6667e9
152067,K-TORREV,TORREVELLA VISTA PARK,2 TORREVELLA VISTA,COOMBABAH,22016,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,e24bd3f5-3d3e-4244-bbe8-f7ce5fa79af7
152068,K-TREE01,TREES ROAD RESERVE,KOORINGAL COURT,TALLEBUDGERA,13884,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,f2118c17-de7a-48c5-b194-8ce4e2d08774
152069,K-TROONC,TROON COURT RESERVE,19 HUNTINGDALE CRESCENT,ROBINA,708,UTILITY RESERVE,ACCESS LINKAGE,GCCC,8975d361-d001-4e7d-bdb2-a09b61c77937
152070,K-TUIJOH,TUI JOHNSON PARK,169 MONACO STREET,BROADBEACH WATERS,891,OPEN SPACE PARKS,AMENITY SPACE,GCCC,502fbe3d-71c0-42de-aef2-ecc81ff654d8
152071,K-UPPE06,UPPER MUDGEERABA CONSERVATION AREA,151 GLENMORE DRIVE,BONOGIN,23634,GOLD COAST CONSERVATION ESTATE,CONSERVATION AREA,GCCC,685b8b4a-04f8-42b8-bb39-499f9c574763
152072,K-AYRSHI,AYRSHIRE AVENUE RESERVE,116 ASHMORE ROAD,BENOWA,718,OPEN SPACE PARKS,AMENITY SPACE,GCCC,b88cff2a-aca7-4374-8408-e0568799c2d0
152073,K-BAINSR,BAINS ROAD PARKLANDS,44 BAINS ROAD,CURRUMBIN VALLEY,65671,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,13579001-9511-4018-9757-d693958a0bb4
152074,K-LANCEW,LANCEWOOD CIRCUIT RESERVE,LANCEWOOD CIRCUIT,ROBINA,15066,OPEN SPACE PARKS,WATER BODY,GCCC,94632023-bb19-4ac0-bbbc-63445f3c5671
152075,K-PACI03,PACIFIC PINES PARKLANDS,13A SAN CRISTOBAL PLACE,PACIFIC PINES,191199,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,80503bc0-9a7a-4f55-bcf0-143e4f47da78
152076,K-BARRSS,BARR'S SCRUB WETLAND RESERVE,22 BARR'S AVENUE,OXENFORD,4375,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,8c8aca05-ff48-47ed-929b-b21dbafc9b27
152077,K-LENWOR,LEN WORT PARK,29A TEEMANGUM STREET,CURRUMBIN,11835,OPEN SPACE PARKS,CITY RECREATION PARK,GCCC,fbf8ac5f-f54d-438d-9628-c0babc6ad480
152078,K-LENNOX,LENNOX STREET RESERVE,26A LENNOX STREET,PACIFIC PINES,2773,OPEN SPACE PARKS,AMENITY SPACE,GCCC,9c885a45-3ec3-4a2f-9c15-39efc2c0deda
152079,K-LEONAR,LEONARD WALLACE JUNCTION,TRAFFIC ISLAND ON BARRETT AVE,SOUTHPORT,1096,OPEN SPACE PARKS,AMENITY SPACE,GCCC,8f59e14c-daae-48bb-9117-ebec67f019c8
152080,K-LEPIRO,LEPIRONIA PARK,32A ARCADIA BOULEVARD,PIMPAMA,5580.13,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,c9408c58-1c66-44a7-bec2-c45e70ee133f
152081,K-LEVI01,LEVIATHAN LINK PARK,21A LEVIATHAN DRIVE,MUDGEERABA,10599,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,a593a5cc-fd01-4029-a1ec-ece33ab1d14c
152082,K-PIND01,PINDARA AVENUE PARK,26 PINDARI AVENUE,BURLEIGH HEADS,526.06921052,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,2e1e26aa-152e-45b0-ad06-044d5607e420
152083,K-PINESL,PINES LOCAL PARK,1 CAPRICORN DRIVE,PACIFIC PINES,3688,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,ae08fa0b-98e9-4198-af05-6d8b1c4e4816
152084,K-PINE01,PINE RIDGE ROAD RESERVE 6,438 PINE RIDGE ROAD,COOMBABAH,475,OPEN SPACE PARKS,AMENITY SPACE,GCCC,2980eb15-f290-48ae-8360-7052d9dd8bcd
152085,K-STANKE,STAN KENWRICK PARK,SANTA BARBARA ROAD,HOPE ISLAND,14414,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,c4a159a6-5007-4bde-b2d8-32429ee333c8
152086,K-AGATHA,AGATHA COURT RESERVE,1 AGATHA COURT,OXENFORD,2303,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,15995b75-60b2-4d35-9a86-c266887cb5c3
152087,K-TSIPUR,TSIPURA PARK,200 TOWNSHIP DRIVE,BURLEIGH HEADS,5781,UTILITY RESERVE,UTILITY RESERVE,GCCC,ecab58ef-9b61-4d8f-ae59-ef788e268511
152088,K-TUGGER,TUGGERAH CLOSE RESERVE,50 GLENSIDE DRIVE,ROBINA,4697,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,f52d3bb7-4fba-4304-8bbd-08b5e3e93ce4
152089,K-GLOS03,GLOSSY BLACK RESERVE,GOLDEN GROVE BOULEVARD,REEDY CREEK,1710,OPEN SPACE PARKS,AMENITY SPACE,GCCC,04d39152-2391-4e80-a709-d928e2bf7e58
152090,K-FINN01,FINNEGAN ENVIRONMENTAL RESERVE,ANDROMEDA DRIVE,COOMERA,9688,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,4e932935-9eb7-4d1e-ad52-6b6153b3eed4
152091,K-GIRUNG,GIRUNG ISLAND,NAPLES AVENUE,SURFERS PARADISE,14633,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,583f3259-bdea-4b82-984f-0ac0971f8a48
152092,K-GLENNO,GLENNON PARK,LEAGUES CLUB DRIVE,NERANG,5714,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,ac0940fb-b0b2-4f9e-bf47-d0a0a7d24f02
152093,K-GOLD01,GOLD COAST BULLETIN CENTENARY PARK,2460 GOLD COAST HIGHWAY,BROADBEACH,17300,OPEN SPACE PARKS,AMENITY SPACE,GCCC,adaa8de1-dfc0-42b5-80b4-a68dcd0b01ea
152094,K-GOOLAG,GOOLAGONG PARK,NERANG BROADBEACH ROAD,BROADBEACH WATERS,929,OPEN SPACE PARKS,AMENITY SPACE,GCCC,cb7444dc-27ba-46f3-87aa-e3c7370e5911
152095,K-GREYGU,GREY GUM PARK,20A SALTWATER BOULEVARD,OXENFORD,3547,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,5d342be0-be39-4efa-a33c-722a07c038f9
152096,K-CHEV02,CHEVRON BUNDALL BRIDGE RESERVE,1 BUNDALL ROAD,SURFERS PARADISE,224,OPEN SPACE PARKS,AMENITY SPACE,GCCC,848f1a71-8cd1-4a9f-b9fd-f655998efd5e
152097,K-CHIBAP,CHIBA PARK,9A TALLARA STREET,COOMBABAH,1572,SPORTS PARKS,LOCAL SPORTS PARK,GCCC,5c485507-b4ed-43ee-9201-84de3de274e5
152098,K-DIXONR,DIXON RESERVE,YAWALPAH ROAD,PIMPAMA,105998.08760149,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,9eb3a79f-0d0e-434c-b080-19bd8544ba4f
152099,K-DIXONR,DIXON RESERVE,YAWALPAH ROAD,PIMPAMA,3558,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,826d66e0-cc6f-4bbe-927b-88b5e4b420c1
152100,K-COOG01,COOGERA CONSERVATION RESERVE LANDSDOWNE ENTRANCE,LANSDOWNE DRIVE,KINGSHOLME,5107,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,91bda6db-6a4c-4ae5-a394-1422478e59b3
152101,K-COOM11,COOMBABAH CONSERVATION AREA ARUNDEL SECTION,TORQUAY PLACE,ARUNDEL,2284,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,cc5309b8-be4c-4f02-96ce-47982e32a048
152102,K-COOM03,COOMERA COURT PARK,COOMERA COURT,HELENSVALE,1151,OPEN SPACE PARKS,AMENITY SPACE,GCCC,18cd79aa-1d89-4e7a-9812-f100cb2d30a6
152103,F-CCCOON,COOMERA NEIGHBOURHOOD COMMUNITY CENTRE,53 BEATTIE ROAD,COOMERA,4797,COMMUNITY FACILITIES,CULTURAL FACILITIES,GCCC,f84820c5-ced9-409a-a3cf-7a48ba41b57f
152104,K-COTL03,COTLEW STREET EAST RESERVE,90 COTLEW STREET EAST,SOUTHPORT,1358,OPEN SPACE PARKS,AMENITY SPACE,GCCC,46c5bc84-ff50-437b-adf0-7b012a3901e6
152105,K-CRESTH,CRESTHILL DRIVE RESERVE,LARCOMBE DRIVE,WONGAWALLAN,610638,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,e0e82bb7-ccb3-4584-9d10-9d2d7254dae6
152106,K-CRYS02,CRYSTAL CREEK RESERVE,CRYSTAL CREEK ROAD,WILLOW VALE,328602,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,7c842808-be9d-4aa2-bdd6-4c6765dca027
152107,K-HINTER,HINTERLAND REGIONAL PARK,40 HARDYS ROAD,MUDGEERABA,548682,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,a7925eca-7054-40ac-b898-32f0c94eeb16
152108,K-HONEYM,HONEYMOON TREE PARK,13 KITCHENER STREET,TUGUN,22511,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,dc2c5a17-82d9-4a3b-b00f-462a22671290
152109,K-JABIRU,JABIRU ISLAND PARK,OXLEY DRIVE,PARADISE POINT,7652,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,c1e4d171-e35c-411b-94de-40174fdad7c4
152110,K-JACKGA,JACK GAVEN PARK,7A WYUNA STREET,BROADBEACH WATERS,6807,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,5c946ed1-19c4-4118-a997-611ecd7b8b8a
152111,K-JACOBC,JACOB COURT RESERVE,25A NICOLA WAY,UPPER COOMERA,6185,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,094d468e-0c25-4bc9-872c-9b186593bda6
152112,K-DEPOTD,DEPOT DRAIN RESERVE,118 EASTLAKE STREET,CARRARA,11798,UTILITY RESERVE,NATURAL DRAINAGE RESERVE,GCCC,829ced64-2d9c-4bab-8eb4-ddc0a68b859a
152113,K-CATPAR,CATALINA PARADE PARK,CATALINA PARADE,JACOBS WELL,3849,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,e16d2e97-4590-4443-8ef7-68fd60d88f3e
152114,K-BAKERC,BAKER CREEK PARKLANDS,TAMBORINE OXENFORD ROAD,UPPER COOMERA,6081,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,0223abde-d356-431d-ac06-efe02b60cc0d
152115,K-BURL03,BURLEIGH WATERS PARKLANDS,18A EXECUTIVE DRIVE,BURLEIGH WATERS,16261,OPEN SPACE PARKS,AMENITY SPACE,GCCC,fd978519-5482-4bef-8587-6bb142be3975
152116,K-WEBBST,WEBB STREET PARK,58 USHER AVENUE,LABRADOR,4484,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,28b16439-b5af-4841-89e2-88f59818fdf4
152117,K-ELEANO,ELEANOR PERKINS PARK,QUEEN STREET,SOUTHPORT,7197,UTILITY RESERVE,UTILITY RESERVE,GCCC,0251b598-9403-4e14-9028-9435e83a27ba
152118,K-ELIENA,ELIENA WAY RESERVE,ELIENA WAY,UPPER COOMERA,1656,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,29e17da4-281a-4636-a025-fe548feaa645
152119,K-RIVE10,RIVERWOOD DRIVE PARKLANDS,RIVERWOOD DRIVE,ASHMORE,39180,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,103d84d6-b68f-4b76-96db-0819baa44a8a
152120,K-RIVERR,RIVER RESERVE,48 KAWANA CRESCENT,ASHMORE,12616,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,25bdf859-4e30-4102-af80-307ccc1b52bb
152121,K-JACOBC,JACOB COURT RESERVE,25A NICOLA WAY,UPPER COOMERA,5817,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,e9153d19-b8c8-4f0f-8ba3-51c07e7f9010
152122,K-JAMESO,JAMES OVERELL PARK,BRIGHTON PARADE,SOUTHPORT,28351,SPORTS PARKS,DISTRICT SPORTS PARK,GCCC,f865152b-e742-475d-9f9b-2b044c73b26e
152123,K-JAMESS,JAMES STREET RESERVE,2 JAMES STREET,CURRUMBIN,6037,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,be26915a-c04d-417e-a067-771b329571ce
152124,K-JACO01,JACOBS RIDGE PARK,7 JACOBS RIDGE ROAD,ORMEAU,14311,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,d46793f4-163d-4aaa-9a89-6b657e739df6
152125,K-JADERE,JADE RESERVE,34 JADE DRIVE,MOLENDINAR,43584,UTILITY RESERVE,UTILITY RESERVE,GCCC,51560afc-d3f6-4bfe-b247-6ea2bbbb9099
152126,K-JADEST,JADE STONE PARK,12 JADE STONE COURT,CARRARA,1983,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,d5ea3e53-1817-4ff6-bf90-f4f15acfa644
152127,K-LAWRAN,LAWRANCE HINDE PARK,EXPLORERS WAY,WORONGARY,18408,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,84f82879-37f5-4a97-ba0e-2f59104d6292
